,game_name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score
793,Crash Bandicoot Purple: Ripto's Rampage,GBA,2004,Platform,Vivendi Games,0.46,0.17,0.0,0.01,0.64,67.0,6.6
797,Crash of the Titans,DS,2007,Action,Vivendi Games,0.42,0.02,0.0,0.04,0.48,73.0,5.9
798,Crash of the Titans,Wii,2007,Action,Vivendi Games,0.39,0.02,0.0,0.03,0.45,69.0,5.8
799,Crash of the Titans,PS2,2007,Action,Vivendi Games,0.34,0.01,0.0,0.06,0.41,70.0,5.9
800,Crash of the Titans,X360,2007,Action,Vivendi Games,0.27,0.02,0.0,0.02,0.32,65.0,6.3
802,Crash Tag Team Racing,PS2,2005,Racing,Vivendi Games,0.27,0.21,0.0,0.07,0.54,66.0,7.0
803,Crash Tag Team Racing,PSP,2005,Racing,Vivendi Games,0.16,0.05,0.0,0.03,0.24,68.0,7.1
804,Crash Tag Team Racing,GC,2005,Racing,Vivendi Games,0.12,0.03,0.0,0.0,0.16,66.0,7.3
805,Crash Tag Team Racing,XB,2005,Racing,Vivendi Games,0.09,0.03,0.0,0.0,0.13,69.0,7.8
807,Crash: Mind Over Mutant,PS2,2008,Platform,Vivendi Games,0.25,0.19,0.0,0.06,0.5,73.0,6.5
808,Crash: Mind Over Mutant,X360,2008,Platform,Vivendi Games,0.22,0.2,0.0,0.05,0.47,60.0,6.5
809,Crash: Mind Over Mutant,Wii,2008,Platform,Vivendi Games,0.35,0.05,0.0,0.03,0.43,70.0,6.6
811,Crash: Mind Over Mutant,DS,2008,Platform,Vivendi Games,0.38,0.0,0.0,0.03,0.42,45.0,5.8
812,Crash: Twinsanity,PS2,2004,Platform,Vivendi Games,0.32,0.25,0.0,0.08,0.64,64.0,8.0
813,Crash: Twinsanity,XB,2004,Platform,Vivendi Games,0.11,0.03,0.0,0.01,0.15,66.0,8.7
820,Crazy Taxi: Fare Wars,PSP,2007,Racing,Sega,0.1,0.22,0.02,0.12,0.47,64.0,7.1
821,Crime Life: Gang Wars,XB,2005,Action,Konami Digital Entertainment,0.04,0.01,0.0,0.0,0.05,30.0,3.4
822,Crimson Gem Saga,PSP,2008,Role-Playing,Sega,0.06,0.0,0.0,0.0,0.06,78.0,7.5
823,Crimson Sea 2,PS2,2004,Action,Tecmo Koei,0.03,0.03,0.0,0.01,0.07,75.0,8.3
824,Crimson Tears,PS2,2004,Role-Playing,Capcom,0.02,0.01,0.0,0.0,0.03,62.0,7.8
825,Crisis Core: Final Fantasy VII,PSP,2007,Role-Playing,Square Enix,1.35,0.59,0.8,0.43,3.18,83.0,8.0
826,Cross Edge,PS3,2008,Role-Playing,Nippon Ichi Software,0.14,0.02,0.05,0.02,0.23,52.0,7.2
827,CrossworDS,DS,2008,Puzzle,Deep Silver,0.5,0.0,0.0,0.04,0.55,67.0,6.8
828,Cruis'n,Wii,2007,Racing,Midway Games,0.1,0.01,0.0,0.01,0.12,25.0,3.7
829,Crush,PSP,2007,Puzzle,Sega,0.07,0.0,0.0,0.01,0.08,83.0,9.0
831,Crysis,PC,2007,Shooter,Electronic Arts,0.0,0.69,0.0,0.02,0.71,91.0,8.0
832,Crysis: Warhead,PC,2008,Shooter,Electronic Arts,0.0,0.02,0.0,0.0,0.02,84.0,7.9
834,CSI: Crime Scene Investigation,XB,2004,Adventure,Ubisoft,0.09,0.03,0.0,0.0,0.12,45.0,7.3
840,Culdcept SAGA,X360,2006,Role-Playing,Namco Bandai Games,0.12,0.0,0.03,0.01,0.16,75.0,8.7
843,Curious George,PS2,2006,Action,Namco Bandai Games,0.06,0.05,0.0,0.02,0.12,53.0,7.7
846,Custom Robo,GC,2004,Role-Playing,Nintendo,0.29,0.07,0.0,0.01,0.37,65.0,8.1
847,Custom Robo Arena,DS,2006,Fighting,Nintendo,0.01,0.02,0.12,0.0,0.16,74.0,8.3
848,Cy Girls,PS2,2004,Action,Konami Digital Entertainment,0.02,0.01,0.0,0.0,0.04,53.0,8.8
865,Dance Dance Revolution Extreme,PS2,2004,Simulation,Konami Digital Entertainment,1.04,0.81,0.0,0.27,2.13,77.0,9.0
866,Dance Dance Revolution Extreme 2,PS2,2005,Simulation,Konami Digital Entertainment,0.95,0.04,0.0,0.16,1.14,76.0,9.0
867,Dance Dance Revolution SuperNOVA,PS2,2006,Simulation,Konami Digital Entertainment,0.87,0.03,0.0,0.14,1.04,73.0,8.7
869,Dance Dance Revolution Ultramix 2,XB,2004,Simulation,Konami Digital Entertainment,0.32,0.09,0.0,0.02,0.42,78.0,7.1
870,Dance Dance Revolution Ultramix 3,XB,2005,Simulation,Konami Digital Entertainment,0.28,0.08,0.0,0.01,0.38,75.0,8.6
871,Dance Dance Revolution Universe,X360,2007,Simulation,Konami Digital Entertainment,0.3,0.0,0.0,0.02,0.32,74.0,8.8
872,Dance Dance Revolution Universe 2,X360,2007,Simulation,Konami Digital Entertainment,0.46,0.0,0.0,0.04,0.5,65.0,7.4
873,Dance Dance Revolution Universe 3,X360,2008,Simulation,Konami Digital Entertainment,0.28,0.0,0.0,0.02,0.3,65.0,7.7
874,Dance Dance Revolution X,PS2,2008,Simulation,Konami Digital Entertainment,0.85,0.66,0.01,0.22,1.75,55.0,6.2
876,Dance Dance Revolution: Hottest Party,Wii,2007,Simulation,Konami Digital Entertainment,1.35,0.52,0.0,0.19,2.07,73.0,7.1
877,Dance Dance Revolution: Hottest Party 2,Wii,2008,Simulation,Konami Digital Entertainment,0.94,0.48,0.01,0.15,1.58,69.0,6.8
878,Dance Dance Revolution: Mario Mix,GC,2005,Misc,Nintendo,0.36,0.09,0.0,0.01,0.47,69.0,8.4
880,Dance Factory,PS2,2006,Action,Codemasters,0.02,0.01,0.0,0.0,0.03,56.0,5.8
