,game_name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score
2508,Medal of Honor: European Assault,XB,2005,Shooter,Electronic Arts,0.32,0.19,0.0,0.02,0.53,72.0,7.0
2511,Medal of Honor: Vanguard,Wii,2007,Shooter,Electronic Arts,0.06,0.03,0.0,0.01,0.09,56.0,7.0
2512,Medal of Honor: Vanguard,PS2,2007,Shooter,Electronic Arts,0.0,0.0,0.03,0.0,0.03,63.0,6.1
2513,Medieval II: Total War,PC,2006,Strategy,Sega,0.0,0.08,0.0,0.02,0.1,88.0,8.9
2515,MediEvil: Resurrection,PSP,2005,Adventure,Sony Computer Entertainment,0.19,0.41,0.0,0.22,0.81,66.0,8.7
2517,Mega Man Anniversary Collection,PS2,2004,Platform,Capcom,0.29,0.22,0.0,0.08,0.59,81.0,9.0
2518,Mega Man Anniversary Collection,GC,2004,Platform,Capcom,0.32,0.08,0.0,0.01,0.42,81.0,8.8
2519,Mega Man Anniversary Collection,XB,2005,Platform,Capcom,0.1,0.03,0.0,0.0,0.13,80.0,9.2
2524,Mega Man Maverick Hunter X,PSP,2005,Platform,Capcom,0.27,0.01,0.0,0.03,0.31,79.0,8.3
2525,Mega Man Powered Up,PSP,2006,Platform,Capcom,0.12,0.01,0.0,0.02,0.14,82.0,7.5
2529,Mega Man X Collection,GC,2006,Misc,Capcom,0.1,0.03,0.0,0.0,0.13,75.0,9.2
2530,Mega Man X: Command Mission,PS2,2004,Role-Playing,Capcom,0.09,0.07,0.0,0.02,0.18,69.0,7.1
2531,Mega Man X: Command Mission,GC,2004,Role-Playing,Capcom,0.1,0.02,0.0,0.0,0.12,67.0,7.3
2532,Mega Man X8,PS2,2004,Platform,Capcom,0.14,0.11,0.0,0.04,0.29,68.0,8.5
2533,Mega Man Zero 3,GBA,2004,Platform,Capcom,0.16,0.06,0.0,0.0,0.22,77.0,9.0
2534,Mega Man Zero 4,GBA,2005,Platform,Capcom,0.08,0.03,0.0,0.0,0.11,77.0,9.1
2535,Mega Man ZX,DS,2006,Platform,Capcom,0.16,0.0,0.1,0.02,0.28,76.0,8.3
2536,Mega Man ZX Advent,DS,2007,Platform,Capcom,0.22,0.0,0.09,0.02,0.33,78.0,8.6
2545,Men of Valor,XB,2004,Shooter,Vivendi Games,0.19,0.05,0.0,0.01,0.25,73.0,8.0
2546,Mercenaries 2: World in Flames,X360,2008,Shooter,Electronic Arts,0.65,0.3,0.01,0.1,1.06,72.0,7.2
2547,Mercenaries 2: World in Flames,PS3,2008,Shooter,Electronic Arts,0.29,0.39,0.02,0.16,0.87,72.0,7.1
2548,Mercenaries 2: World in Flames,PS2,2008,Shooter,Electronic Arts,0.21,0.0,0.0,0.17,0.38,49.0,7.4
2551,Mercury Meltdown,PSP,2006,Action,Atari,0.05,0.0,0.0,0.01,0.06,78.0,7.8
2552,Mercury Meltdown Revolution,Wii,2007,Action,Ignition Entertainment,0.16,0.0,0.0,0.01,0.17,77.0,7.4
2558,Metal Gear Solid 3: Snake Eater,PS2,2004,Action,Konami Digital Entertainment,1.46,0.0,0.83,1.93,4.23,91.0,9.3
2559,Metal Gear Solid 3: Subsistence,PS2,2005,Action,Konami Digital Entertainment,0.34,0.01,0.15,0.06,0.55,94.0,9.3
2560,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,2.63,1.71,0.83,0.82,5.99,94.0,8.7
2561,Metal Gear Solid: Digital Graphic Novel,PSP,2006,Misc,Konami Digital Entertainment,0.02,0.0,0.02,0.0,0.04,78.0,7.2
2562,Metal Gear Solid: Portable Ops,PSP,2006,Action,Konami Digital Entertainment,0.38,0.35,0.38,0.08,1.18,87.0,8.2
2563,Metal Gear Solid: Portable Ops Plus,PSP,2007,Action,Konami Digital Entertainment,0.26,0.0,0.26,0.17,0.69,65.0,7.5
2566,Metal Gear Solid: The Twin Snakes,GC,2004,Action,Konami Digital Entertainment,0.3,0.08,0.07,0.01,0.47,85.0,9.0
2567,Metal Saga,PS2,2005,Role-Playing,Success,0.01,0.01,0.0,0.0,0.03,62.0,7.3
2569,Metal Slug 3,XB,2004,Shooter,Ignition Entertainment,0.08,0.02,0.0,0.0,0.1,76.0,5.1
2572,Metal Slug 7,DS,2008,Shooter,Ignition Entertainment,0.12,0.0,0.01,0.01,0.14,70.0,7.4
2573,Metal Slug Advance,GBA,2004,Shooter,Ignition Entertainment,0.06,0.02,0.0,0.0,0.08,79.0,8.3
2574,Metal Slug Anthology,Wii,2006,Shooter,Ignition Entertainment,0.12,0.01,0.0,0.01,0.14,73.0,8.0
2575,Metal Slug Anthology,PSP,2007,Shooter,Ignition Entertainment,0.02,0.0,0.02,0.01,0.05,78.0,7.4
2576,Metal Slug Anthology,PS2,2007,Shooter,Ignition Entertainment,0.0,0.0,0.01,0.0,0.01,80.0,8.1
2577,Meteos,DS,2005,Puzzle,Nintendo,0.15,0.01,0.06,0.01,0.23,88.0,7.5
2578,Meteos: Disney Magic,DS,2007,Puzzle,Disney Interactive Studios,0.01,0.02,0.0,0.0,0.04,74.0,6.6
2579,Metroid Prime 2: Echoes,GC,2004,Shooter,Nintendo,0.87,0.35,0.07,0.04,1.33,92.0,8.8
2580,Metroid Prime 3: Corruption,Wii,2007,Shooter,Nintendo,0.89,0.74,0.07,0.09,1.79,90.0,8.9
2581,Metroid Prime Hunters,DS,2006,Shooter,Nintendo,0.57,0.04,0.11,0.06,0.76,85.0,8.0
2582,Metroid Prime Pinball,DS,2005,Misc,Nintendo,0.21,0.0,0.02,0.02,0.25,79.0,7.9
2583,Metroid: Zero Mission,GBA,2004,Adventure,Nintendo,0.6,0.22,0.0,0.01,0.84,89.0,9.0
2584,Miami Nights: Singles in the City,DS,2008,Simulation,Ubisoft,0.08,0.0,0.0,0.01,0.08,48.0,7.1
2585,Miami Vice: The Game,PSP,2006,Shooter,Activision,0.06,0.0,0.0,0.0,0.06,63.0,7.0
2587,Micro Machines V4,PS2,2006,Racing,Codemasters,0.01,0.0,0.0,0.0,0.01,64.0,6.8
2588,Microsoft Flight Simulator X,PC,2006,Simulation,Microsoft Game Studios,0.02,0.36,0.0,0.05,0.43,80.0,7.6
2590,Midnight Club 3: DUB Edition,PSP,2005,Racing,Take-Two Interactive,1.65,1.21,0.0,0.79,3.65,74.0,8.4
2591,Midnight Club 3: DUB Edition,XB,2005,Racing,Take-Two Interactive,0.61,0.1,0.0,0.03,0.74,84.0,7.4
2593,Midnight Club 3: DUB Edition Remix,PS2,2006,Racing,Take-Two Interactive,0.97,0.04,0.0,0.16,1.16,85.0,8.9
2594,Midnight Club 3: DUB Edition Remix,XB,2006,Racing,Take-Two Interactive,0.15,0.04,0.0,0.01,0.2,87.0,5.3
2595,Midnight Club: LA Remix,PSP,2008,Racing,Take-Two Interactive,0.52,0.27,0.0,0.19,0.98,79.0,8.7
2596,Midnight Club: Los Angeles,PS3,2008,Racing,Take-Two Interactive,1.56,0.53,0.05,0.31,2.45,82.0,8.2
2597,Midnight Club: Los Angeles,X360,2008,Racing,Take-Two Interactive,1.68,0.45,0.01,0.21,2.35,81.0,8.5
2600,Midway Arcade Treasures 2,XB,2004,Misc,Midway Games,0.24,0.05,0.0,0.01,0.31,74.0,7.4
2605,Midway Arcade Treasures: Extended Play,PSP,2005,Misc,Midway Games,0.21,0.0,0.0,0.02,0.24,63.0,7.8
2619,Mirror's Edge,X360,2008,Platform,Electronic Arts,0.51,0.51,0.01,0.13,1.16,79.0,7.6
2620,Mirror's Edge,PS3,2008,Platform,Electronic Arts,0.31,0.58,0.02,0.22,1.13,79.0,7.8
2625,MLB,PSP,2005,Sports,Sony Computer Entertainment,0.23,0.0,0.0,0.02,0.24,80.0,7.9
2626,MLB 06: The Show,PS2,2006,Sports,Sony Computer Entertainment,0.78,0.03,0.0,0.13,0.94,83.0,8.9
2627,MLB 06: The Show,PSP,2006,Sports,Sony Computer Entertainment,0.32,0.0,0.0,0.03,0.35,83.0,8.5
2628,MLB 07: The Show,PS2,2007,Sports,Sony Computer Entertainment,0.77,0.03,0.0,0.13,0.93,83.0,8.6
2629,MLB 07: The Show,PS3,2007,Sports,Sony Computer Entertainment,0.29,0.0,0.0,0.02,0.31,77.0,7.5
2630,MLB 07: The Show,PSP,2007,Sports,Sony Computer Entertainment,0.26,0.0,0.0,0.02,0.28,82.0,7.2
2631,MLB 08: The Show,PS3,2008,Sports,Sony Computer Entertainment,0.64,0.0,0.0,0.05,0.7,85.0,8.7
2632,MLB 08: The Show,PS2,2008,Sports,Sony Computer Entertainment,0.35,0.01,0.0,0.06,0.42,84.0,7.3
2633,MLB 08: The Show,PSP,2008,Sports,Sony Computer Entertainment,0.3,0.0,0.0,0.02,0.33,83.0,8.4
2634,MLB 2005,PS2,2004,Sports,Sony Computer Entertainment,0.44,0.35,0.0,0.12,0.9,78.0,7.6
2635,MLB 2006,PS2,2005,Sports,Sony Computer Entertainment,0.33,0.01,0.0,0.05,0.4,81.0,9.0
2636,MLB Power Pros,Wii,2007,Sports,Konami Digital Entertainment,0.23,0.0,0.04,0.02,0.29,83.0,8.4
2637,MLB Power Pros,PS2,2007,Sports,Konami Digital Entertainment,0.0,0.0,0.11,0.0,0.11,80.0,8.8
2638,MLB Power Pros 2008,PS2,2008,Sports,Konami Digital Entertainment,0.05,0.04,0.05,0.01,0.15,67.0,8.5
2639,MLB Power Pros 2008,Wii,2008,Sports,Konami Digital Entertainment,0.11,0.0,0.01,0.01,0.13,79.0,8.7
2641,MLB SlugFest 2006,PS2,2006,Sports,Midway Games,0.13,0.1,0.0,0.03,0.26,56.0,7.5
2643,MLB SlugFest Loaded,PS2,2004,Sports,Midway Games,0.14,0.11,0.0,0.04,0.3,77.0,9.5
2649,Mobile Suit Gundam Seed: Never Ending Tomorrow,PS2,2004,Shooter,Namco Bandai Games,0.03,0.02,0.0,0.01,0.06,45.0,7.8
2652,Mobile Suit Gundam: Crossfire,PS3,2006,Simulation,Namco Bandai Games,0.06,0.0,0.14,0.01,0.2,33.0,5.1
2654,Mobile Suit Gundam: Gundam vs. Zeta Gundam,PS2,2004,Shooter,Namco Bandai Games,0.03,0.02,0.0,0.01,0.06,57.0,8.6
2666,Monopoly,Wii,2008,Misc,Electronic Arts,0.86,0.83,0.0,0.2,1.89,70.0,7.8
2667,Monopoly,X360,2008,Misc,Electronic Arts,0.34,0.2,0.0,0.06,0.59,56.0,5.8
2669,Monopoly,PS3,2008,Misc,Electronic Arts,0.25,0.05,0.0,0.04,0.34,54.0,6.7
2670,Monster 4X4: World Circuit,Wii,2006,Racing,Ubisoft,0.8,0.0,0.01,0.07,0.88,51.0,7.8
2677,Monster House,GBA,2006,Adventure,THQ,0.06,0.02,0.0,0.0,0.09,69.0,9.0
2678,Monster Hunter,PS2,2004,Role-Playing,Capcom,0.11,0.08,0.28,0.03,0.5,68.0,8.9
2679,Monster Hunter Freedom,PSP,2005,Role-Playing,Capcom,0.24,0.03,1.03,0.04,1.34,71.0,8.6
2680,Monster Hunter Freedom 2,PSP,2007,Role-Playing,Capcom,0.37,0.27,1.75,0.18,2.57,72.0,8.7
2681,Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,0.47,0.55,4.13,0.34,5.48,81.0,8.7
2684,Monster Jam,X360,2007,Racing,Activision,0.18,0.0,0.0,0.02,0.2,43.0,6.4
2692,Monster Kingdom: Jewel Summoner,PSP,2006,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.04,0.0,0.04,66.0,6.8
2693,Monster Lab,Wii,2008,Role-Playing,Eidos Interactive,0.27,0.02,0.0,0.02,0.31,73.0,8.4
2696,Monster Madness: Battle for Suburbia,X360,2007,Shooter,SouthPeak Games,0.1,0.0,0.0,0.01,0.11,55.0,5.2
2699,Monster Rancher EVO,PS2,2005,Role-Playing,Tecmo Koei,0.02,0.02,0.05,0.01,0.1,58.0,6.8
2706,Mortal Kombat vs. DC Universe,PS3,2008,Fighting,Midway Games,1.48,0.28,0.0,0.23,2.0,76.0,7.1
2707,Mortal Kombat vs. DC Universe,X360,2008,Fighting,Midway Games,1.53,0.23,0.0,0.16,1.93,72.0,7.5
2708,Mortal Kombat: Armageddon,PS2,2006,Fighting,Midway Games,0.88,0.04,0.0,0.14,1.06,75.0,8.5
2709,Mortal Kombat: Armageddon,Wii,2007,Fighting,Midway Games,0.19,0.02,0.0,0.02,0.23,71.0,8.4
2710,Mortal Kombat: Deception,PS2,2004,Fighting,Midway Games,0.92,0.72,0.0,0.24,1.88,81.0,8.5
2711,Mortal Kombat: Deception,XB,2004,Fighting,Midway Games,0.61,0.12,0.0,0.03,0.76,81.0,8.8
2712,Mortal Kombat: Deception,GC,2005,Fighting,Midway Games,0.09,0.02,0.0,0.0,0.11,77.0,8.9
2713,Mortal Kombat: Shaolin Monks,PS2,2005,Action,Midway Games,0.58,0.02,0.0,0.09,0.69,77.0,8.6
2714,Mortal Kombat: Shaolin Monks,XB,2005,Action,Midway Games,0.23,0.07,0.0,0.01,0.31,78.0,6.6
2715,Mortal Kombat: Unchained,PSP,2006,Fighting,Midway Games,0.67,0.01,0.0,0.06,0.74,70.0,8.8
2720,Motocross Mania 3,XB,2005,Racing,Take-Two Interactive,0.01,0.0,0.0,0.0,0.02,38.0,3.6
2721,MotoGP,PSP,2006,Racing,Sony Computer Entertainment,0.03,0.0,0.0,0.0,0.03,69.0,7.1
2722,MotoGP '06,X360,2006,Racing,THQ,0.11,0.01,0.0,0.01,0.14,80.0,7.7
2723,MotoGP '07,X360,2007,Racing,THQ,0.23,0.0,0.0,0.02,0.25,78.0,7.3
2724,MotoGP 07,PS2,2007,Racing,Capcom,0.05,0.04,0.0,0.01,0.1,62.0,9.1
2725,MotoGP 08,PS3,2008,Racing,Capcom,0.07,0.24,0.0,0.08,0.39,65.0,6.0
2726,MotoGP 08,X360,2008,Racing,Capcom,0.11,0.2,0.0,0.04,0.35,68.0,5.6
2729,MotorStorm,PS3,2006,Racing,Sony Computer Entertainment,1.53,1.6,0.06,0.67,3.87,84.0,7.4
2730,MotorStorm: Pacific Rift,PS3,2008,Racing,Sony Computer Entertainment,0.43,0.65,0.02,0.25,1.35,82.0,8.0
2735,Mr. Driller: Drill Spirits,DS,2004,Puzzle,Nintendo,0.08,0.0,0.05,0.01,0.14,70.0,8.9
2736,Ms Saga: A New Dawn,PS2,2005,Role-Playing,Namco Bandai Games,0.02,0.02,0.0,0.01,0.05,65.0,8.6
2739,MTV Music Generator 3: This Is the Remix,PS2,2004,Misc,Codemasters,0.07,0.05,0.0,0.02,0.14,79.0,8.6
2740,MTV Music Generator 3: This Is the Remix,XB,2004,Misc,Codemasters,0.06,0.02,0.0,0.0,0.08,79.0,5.4
2741,MTX Mototrax,PS2,2004,Racing,Activision,0.13,0.1,0.0,0.03,0.26,77.0,8.1
2745,Musashi: Samurai Legend,PS2,2005,Role-Playing,Atari,0.07,0.06,0.0,0.02,0.15,64.0,8.9
2747,Mushroom Men: Rise of the Fungi,DS,2008,Action,SouthPeak Games,0.1,0.0,0.0,0.01,0.11,45.0,7.3
2748,Mushroom Men: The Spore Wars,Wii,2008,Action,SouthPeak Games,0.16,0.01,0.0,0.01,0.18,72.0,8.7
2749,MVP 06 NCAA Baseball,PS2,2006,Sports,Electronic Arts,0.62,0.02,0.0,0.1,0.75,76.0,9.0
2750,MVP 06 NCAA Baseball,XB,2006,Sports,Electronic Arts,0.25,0.07,0.0,0.01,0.34,75.0,8.6
2751,MVP Baseball,PSP,2005,Sports,Electronic Arts,0.2,0.0,0.0,0.02,0.21,67.0,7.7
2752,MVP Baseball 2004,PS2,2004,Sports,Electronic Arts,1.1,0.06,0.0,0.18,1.34,90.0,8.6
2753,MVP Baseball 2004,XB,2004,Sports,Electronic Arts,0.44,0.13,0.0,0.02,0.59,90.0,8.5
2754,MVP Baseball 2004,GC,2004,Sports,Electronic Arts,0.2,0.05,0.0,0.01,0.26,89.0,8.5
2755,MVP Baseball 2005,PS2,2005,Sports,Electronic Arts,1.26,0.07,0.0,0.21,1.54,87.0,8.6
2757,MVP Baseball 2005,GC,2005,Sports,Electronic Arts,0.25,0.07,0.0,0.01,0.33,88.0,8.7
2758,MX Unleashed,PS2,2004,Racing,THQ,0.94,0.73,0.0,0.25,1.92,80.0,9.2
2759,MX Unleashed,XB,2004,Racing,THQ,0.34,0.08,0.0,0.02,0.44,81.0,9.3
2760,MX vs. ATV Unleashed,PS2,2005,Racing,THQ,0.86,0.03,0.0,0.14,1.03,79.0,8.4
2761,MX vs. ATV Unleashed,XB,2005,Racing,THQ,0.32,0.07,0.0,0.01,0.4,80.0,8.3
2762,MX vs. ATV Unleashed: On the Edge,PSP,2006,Racing,THQ,0.64,0.0,0.0,0.05,0.69,68.0,8.1
2763,MX vs. ATV Untamed,X360,2007,Racing,THQ,0.55,0.08,0.0,0.06,0.68,70.0,7.1
2765,MX vs. ATV Untamed,PS3,2007,Racing,THQ,0.35,0.06,0.0,0.05,0.46,67.0,6.1
2766,MX vs. ATV Untamed,PS2,2007,Racing,THQ,0.32,0.01,0.0,0.05,0.38,53.0,8.2
2767,MX vs. ATV Untamed,Wii,2008,Racing,THQ,0.28,0.02,0.0,0.02,0.33,70.0,8.3
2786,My Japanese Coach,DS,2008,Misc,Ubisoft,0.24,0.0,0.0,0.02,0.27,59.0,6.7
2797,My Weight Loss Coach,DS,2008,Sports,Ubisoft,0.3,0.54,0.0,0.11,0.95,63.0,7.6
2798,My Word Coach,DS,2007,Misc,Ubisoft,0.37,0.89,0.0,0.18,1.44,71.0,6.8
2802,MySims,DS,2007,Simulation,Electronic Arts,1.58,1.59,0.08,0.41,3.66,67.0,7.3
2803,MySims,Wii,2007,Simulation,Electronic Arts,0.9,0.54,0.04,0.17,1.65,68.0,7.2
2804,MySims,PC,2008,Simulation,Electronic Arts,0.0,0.02,0.0,0.0,0.03,70.0,6.4
2806,MySims Kingdom,Wii,2008,Simulation,Electronic Arts,0.7,0.64,0.01,0.16,1.51,76.0,8.1
2807,Myst,DS,2007,Adventure,Midway Games,0.09,0.0,0.0,0.01,0.1,43.0,3.5
2808,Myst,PSP,2006,Adventure,Midway Games,0.0,0.01,0.0,0.0,0.01,69.0,4.8
2813,Mystery Dungeon: Shiren the Wanderer,DS,2006,Role-Playing,Sega,0.17,0.0,0.33,0.02,0.52,69.0,8.2
2818,N+,DS,2007,Platform,Atari,0.06,0.0,0.0,0.0,0.07,82.0,7.4
2819,N+,PSP,2007,Platform,Atari,0.03,0.0,0.0,0.0,0.03,79.0,7.8
2821,Nacho Libre,DS,2006,Action,Majesco Entertainment,0.03,0.0,0.0,0.0,0.03,56.0,5.8
2825,Namco Museum Battle Collection,PSP,2005,Misc,Sony Computer Entertainment,0.75,0.18,0.0,0.16,1.08,73.0,7.2
2827,Namco Museum DS,DS,2007,Misc,Atari,1.13,0.01,0.06,0.09,1.29,67.0,5.9
2828,Namco Museum Remix,Wii,2007,Misc,Atari,0.68,0.0,0.0,0.05,0.74,49.0,6.3
2838,Nancy Drew: The Mystery of the Clue Bender Society,DS,2008,Adventure,Codemasters,0.24,0.0,0.0,0.02,0.26,46.0,3.6
2840,NanoBreaker,PS2,2005,Action,Konami Digital Entertainment,0.03,0.02,0.0,0.01,0.06,51.0,6.7
2841,Nanostray,DS,2005,Shooter,Majesco Entertainment,0.05,0.0,0.0,0.0,0.06,71.0,7.7
2842,Nanostray 2,DS,2008,Shooter,Codemasters,0.03,0.01,0.0,0.0,0.05,75.0,7.8
2843,Napoleon Dynamite: The Game,PSP,2007,Puzzle,Crave Entertainment,0.03,0.0,0.0,0.0,0.04,37.0,4.6
2844,Napoleon Dynamite: The Game,DS,2007,Puzzle,Crave Entertainment,0.02,0.0,0.0,0.0,0.03,45.0,7.3
2846,NARC,PS2,2005,Shooter,Midway Games,0.18,0.14,0.0,0.05,0.36,50.0,7.0
2847,NARC,XB,2005,Shooter,Midway Games,0.14,0.04,0.0,0.01,0.18,51.0,2.8
2856,Naruto Shippuden: Ninja Destiny 2,DS,2008,Fighting,Takara Tomy,0.19,0.02,0.13,0.02,0.37,55.0,5.7
2861,Naruto: Clash of Ninja Revolution,Wii,2007,Fighting,Tomy Corporation,0.44,0.46,0.0,0.11,1.01,74.0,8.0
2862,Naruto: Clash of Ninja Revolution 2,Wii,2008,Fighting,Tomy Corporation,0.34,0.02,0.0,0.03,0.38,72.0,8.4
2866,Naruto: Ninja Council 3,DS,2006,Action,D3Publisher,0.39,0.0,0.0,0.03,0.42,56.0,6.5
2867,Naruto: Ninja Destiny,DS,2006,Fighting,Namco Bandai Games,0.02,0.01,0.16,0.0,0.19,61.0,4.4
2869,Naruto: Path of the Ninja,DS,2007,Role-Playing,D3Publisher,0.37,0.0,0.0,0.03,0.4,57.0,7.2
2870,Naruto: Path of the Ninja 2,DS,2006,Role-Playing,Takara Tomy,0.22,0.0,0.0,0.02,0.23,62.0,7.5
2871,Naruto: Rise of a Ninja,X360,2007,Action,Ubisoft,0.29,0.01,0.0,0.03,0.33,78.0,8.6
2872,Naruto: The Broken Bond,X360,2008,Action,Ubisoft,0.24,0.28,0.0,0.06,0.59,80.0,7.8
2873,Naruto: Ultimate Ninja 2,PS2,2004,Fighting,Namco Bandai Games,0.47,0.02,0.0,0.08,0.57,73.0,7.9
2874,Naruto: Ultimate Ninja 3,PS2,2005,Fighting,Atari,0.36,0.01,0.0,0.06,0.44,75.0,8.7
2876,Naruto: Ultimate Ninja Heroes,PSP,2006,Fighting,Namco Bandai Games,0.26,0.0,0.0,0.0,0.26,70.0,6.6
2878,Naruto: Ultimate Ninja Heroes 2 - The Phantom Fortress,PSP,2006,Fighting,Atari,0.14,0.0,0.0,0.01,0.16,64.0,7.8
2879,Naruto: Ultimate Ninja Storm,PS3,2008,Fighting,Namco Bandai Games,0.49,0.34,0.09,0.15,1.07,75.0,8.6
2880,Naruto: Uzumaki Chronicles 2,PS2,2006,Action,Namco Bandai Games,0.28,0.22,0.0,0.07,0.58,52.0,6.9
2882,NASCAR,PSP,2006,Racing,Electronic Arts,0.09,0.0,0.0,0.01,0.1,66.0,5.3
2883,NASCAR 06: Total Team Control,PS2,2005,Racing,Electronic Arts,0.53,0.02,0.0,0.09,0.63,78.0,7.7
2884,NASCAR 06: Total Team Control,XB,2005,Racing,Electronic Arts,0.2,0.06,0.0,0.01,0.27,79.0,5.9
2885,NASCAR 07,PS2,2006,Racing,Electronic Arts,0.06,0.04,0.0,0.01,0.11,68.0,8.9
2886,NASCAR 07,XB,2006,Racing,Electronic Arts,0.03,0.01,0.0,0.0,0.04,72.0,7.0
2887,NASCAR 08,X360,2007,Racing,Electronic Arts,0.26,0.0,0.0,0.02,0.29,59.0,5.2
2888,NASCAR 08,PS2,2007,Racing,Electronic Arts,0.12,0.09,0.0,0.03,0.24,56.0,8.2
2889,NASCAR 08,PS3,2007,Racing,Electronic Arts,0.15,0.05,0.0,0.03,0.23,57.0,5.0
2891,NASCAR 09,X360,2008,Racing,Electronic Arts,0.23,0.0,0.0,0.02,0.25,69.0,7.8
2892,NASCAR 09,PS3,2008,Racing,Electronic Arts,0.22,0.01,0.0,0.02,0.25,65.0,7.5
2893,NASCAR 2005: Chase for the Cup,PS2,2004,Racing,Electronic Arts,0.69,0.54,0.0,0.18,1.41,87.0,8.4
2900,NBA,PSP,2005,Sports,Sony Computer Entertainment,0.2,0.0,0.0,0.02,0.21,57.0,6.9
2901,NBA 06,PS2,2005,Sports,Sony Computer Entertainment,0.26,0.2,0.0,0.07,0.53,63.0,6.3
2902,NBA 06,PSP,2005,Sports,Sony Computer Entertainment,0.2,0.0,0.0,0.02,0.22,72.0,5.4
2903,NBA 07,PS3,2006,Sports,Sony Computer Entertainment,0.24,0.0,0.01,0.02,0.27,63.0,6.3
2904,NBA 07,PSP,2006,Sports,Sony Computer Entertainment,0.18,0.0,0.0,0.02,0.2,68.0,7.0
2905,NBA 07,PS2,2006,Sports,Sony Computer Entertainment,0.01,0.01,0.0,0.0,0.02,63.0,6.8
2906,NBA 08,PS3,2007,Sports,Sony Computer Entertainment,0.12,0.0,0.0,0.01,0.13,63.0,6.0
2908,NBA 08,PSP,2007,Sports,Sony Computer Entertainment,0.03,0.0,0.0,0.0,0.03,75.0,7.5
2909,NBA 09: The Inside,PSP,2008,Sports,Sony Computer Entertainment,0.16,0.0,0.0,0.01,0.17,79.0,7.4
2911,NBA 09: The Inside,PS3,2008,Sports,Sony Computer Entertainment,0.14,0.0,0.0,0.01,0.15,63.0,5.1
2912,NBA 2K6,PS2,2005,Action,Take-Two Interactive,0.43,0.34,0.0,0.11,0.88,84.0,8.3
2913,NBA 2K6,XB,2005,Action,Take-Two Interactive,0.27,0.08,0.0,0.01,0.36,84.0,8.7
2914,NBA 2K6,X360,2005,Action,Take-Two Interactive,0.21,0.01,0.0,0.02,0.23,81.0,8.6
2915,NBA 2K7,PS2,2006,Sports,Take-Two Interactive,0.65,0.02,0.0,0.11,0.78,81.0,8.4
2916,NBA 2K7,X360,2006,Sports,Take-Two Interactive,0.53,0.0,0.0,0.04,0.58,84.0,7.8
2917,NBA 2K7,PS3,2006,Sports,Take-Two Interactive,0.3,0.04,0.0,0.03,0.37,80.0,7.4
2918,NBA 2K7,XB,2006,Sports,Take-Two Interactive,0.02,0.01,0.0,0.0,0.03,83.0,8.6
2919,NBA 2K8,X360,2007,Sports,Take-Two Interactive,0.79,0.0,0.0,0.07,0.85,81.0,7.0
2920,NBA 2K8,PS2,2007,Sports,Take-Two Interactive,0.5,0.02,0.0,0.08,0.6,72.0,6.0
2921,NBA 2K8,PS3,2007,Sports,Take-Two Interactive,0.5,0.01,0.0,0.05,0.55,81.0,6.8
2922,NBA 2K9,X360,2008,Sports,Take-Two Interactive,1.0,0.16,0.0,0.11,1.27,84.0,7.2
2923,NBA 2K9,PS3,2008,Sports,Take-Two Interactive,0.56,0.0,0.0,0.05,0.61,82.0,7.0
2925,NBA Ballers,PS2,2004,Sports,Midway Games,0.81,0.63,0.0,0.21,1.66,83.0,9.2
2926,NBA Ballers,XB,2004,Sports,Midway Games,0.37,0.11,0.0,0.02,0.51,82.0,8.1
2927,NBA Ballers: Chosen One,X360,2008,Sports,Midway Games,0.17,0.0,0.0,0.01,0.19,55.0,4.2
2928,NBA Ballers: Chosen One,PS3,2008,Sports,Midway Games,0.12,0.0,0.0,0.01,0.14,54.0,6.5
2929,NBA Ballers: Phenom,PS2,2006,Sports,Midway Games,0.23,0.18,0.0,0.06,0.47,69.0,8.5
2931,NBA Ballers: Rebound,PSP,2006,Sports,Midway Games,0.09,0.0,0.0,0.01,0.1,69.0,7.7
2932,NBA Live 06,XB,2005,Sports,Electronic Arts,0.57,0.04,0.0,0.03,0.64,79.0,6.4
2933,NBA Live 06,PSP,2005,Sports,Electronic Arts,0.39,0.0,0.0,0.03,0.42,80.0,7.6
2935,NBA Live 06,X360,2005,Sports,Electronic Arts,0.27,0.0,0.0,0.02,0.29,64.0,5.6
2938,NBA Live 07,PS2,2006,Sports,Electronic Arts,1.07,0.04,0.02,0.17,1.3,63.0,6.0
2939,NBA Live 07,PSP,2006,Sports,Electronic Arts,0.47,0.0,0.0,0.04,0.51,64.0,7.5
2940,NBA Live 07,X360,2006,Sports,Electronic Arts,0.42,0.0,0.0,0.04,0.46,59.0,4.9
2941,NBA Live 07,XB,2006,Sports,Electronic Arts,0.04,0.01,0.0,0.0,0.06,69.0,6.8
2942,NBA Live 08,PS2,2007,Sports,Electronic Arts,0.59,0.02,0.01,0.1,0.72,68.0,6.6
2943,NBA Live 08,PS3,2007,Sports,Electronic Arts,0.56,0.02,0.01,0.05,0.63,73.0,6.8
